"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","CAF","Central African Republic","Ouaka",10313758,"19.74","20.39","21.08",0.1138,0.1176,0.1215,"Pessimistic"
"Africa","CAF","Central African Republic","Ouham",10314686,"19.5","20.19","20.93",0.1146,0.1188,0.123,"Pessimistic"
"Africa","CAF","Central African Republic","Ouham Pende",10313359,"20.03","20.75","21.52",0.1114,0.1156,0.1197,"Pessimistic"
"Africa","CAF","Central African Republic","Sangha-Mbaere",10312914,"20.07","20.66","21.3",0.1126,0.116,0.1195,"Pessimistic"
"Africa","CAF","Central African Republic","Vakaga",10313418,"19.71","20.54","21.46",0.1118,0.1167,0.1217,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Abidjan",10316181,"16.86","17.59","18.39",0.1304,0.1363,0.1422,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra",10313698,"20.8","21.37","21.97",0.1091,0.1122,0.1153,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Comoe",10314932,"23.06","23.72","24.41",0.0982,0.1011,0.104,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Denguele",10314504,"19.1","19.66","20.25",0.1184,0.122,0.1255,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua",10314814,"16.88","17.31","17.75",0.1351,0.1386,0.142,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Lacs",10315209,"28.94","30.1","31.36",0.0765,0.0797,0.0828,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Lagunes",10315887,"16.82","17.25","17.71",0.1354,0.139,0.1426,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Montagnes",10314302,"17.69","18.08","18.49",0.1297,0.1326,0.1356,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue",10316005,"18.27","18.71","19.17",0.1251,0.1282,0.1313,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Savanes",10315042,"16.85","17.27","17.71",0.1354,0.1389,0.1423,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama",10315472,"24.21","24.97","25.78",0.093,0.096,0.0991,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Woroba",10314018,"19.5","19.97","20.47",0.1171,0.1201,0.123,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro",10314379,"28.42","29.84","31.41",0.0763,0.0804,0.0844,"Pessimistic"
"Africa","CIV","Côte d'Ivoire","Zanzan",10316245,"23.98","24.74","25.54",0.0939,0.0969,0.1,"Pessimistic"
"Africa","CMR","Cameroon","Adamaoua",10315885,"17.79","18.15","18.52",0.1294,0.1321,0.1348,"Pessimistic"
"Africa","CMR","Cameroon","Centre",10315127,"13.38","13.69","14.02",0.1711,0.1752,0.1792,"Pessimistic"
"Africa","CMR","Cameroon","Est",10314487,"20.81","21.19","21.59",0.1111,0.1132,0.1152,"Pessimistic"
"Africa","CMR","Cameroon","Extreme Nord",10316034,"13.55","13.84","14.15",0.1695,0.1732,0.177,"Pessimistic"
"Africa","CMR","Cameroon","Littoral",10316217,"13.39","13.7","14.03",0.1709,0.175,0.1791,"Pessimistic"
"Africa","CMR","Cameroon","Nord",10314668,"12.55","12.82","13.1",0.1831,0.1871,0.1911,"Pessimistic"
"Africa","CMR","Cameroon","North West",10313797,"13.03","13.36","13.7",0.175,0.1795,0.184,"Pessimistic"
"Africa","CMR","Cameroon","Ouest",10315446,"10.17","10.47","10.79",0.2223,0.229,0.2357,"Pessimistic"
"Africa","CMR","Cameroon","South West",10316304,"9.03","9.22","9.42",0.2545,0.26,0.2655,"Pessimistic"
"Africa","CMR","Cameroon","Sud",10315130,"14.54","14.8","15.08",0.159,0.162,0.165,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Bas-Uele",10015079,"15.79","16","16.21",0.1479,0.1499,0.1518,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Equateur",10314890,"14.22","14.43","14.66",0.1636,0.1661,0.1686,"Pessimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Katanga",604100800,"15.15","15.4","15.65",0.1532,0.1557,0.1583,"Pessimistic"
